,Close
1999-01-01,7044.37
1999-01-04,7320.72
1999-01-05,7576.81
1999-01-06,7840.04
1999-01-07,8011.8
1999-01-08,8317.43
1999-01-11,8554.95
1999-01-12,8945.1
1999-01-13,9611.35
1999-01-14,10141.87
1999-01-15,9867.0
1999-01-18,9919.46
1999-01-19,10098.58
1999-01-21,10742.39
1999-01-22,11048.13
1999-01-25,11363.19
1999-01-27,11949.39
1999-01-28,11387.8
1999-01-29,11244.07
1999-02-01,10813.63
1999-02-02,10610.7
1999-02-03,10854.08
1999-02-04,10622.83
1999-02-05,10720.04
1999-02-08,10764.03
1999-02-09,10941.04
1999-02-10,11091.43
1999-02-11,11137.12
1999-02-12,11228.3
1999-02-15,11223.19
1999-02-16,11373.68
1999-02-17,11661.12
1999-02-18,11806.71
1999-02-19,11697.02
1999-02-22,11357.86
1999-02-23,11146.8
1999-02-24,11447.89
1999-02-25,11621.04
1999-02-26,11601.82
1999-02-27,12545.26
1999-03-01,13420.67
1999-03-03,14169.79
1999-03-04,13603.54
1999-03-05,13692.74
1999-03-08,13705.9
1999-03-09,13804.92
1999-03-10,13788.12
1999-03-11,13526.85
1999-03-12,14331.73
1999-03-15,14993.74
1999-03-16,15076.02
1999-03-17,14577.14
1999-03-19,14028.2
1999-03-22,14155.95
1999-03-23,13893.69
1999-03-24,13331.7
1999-03-26,13021.44
1999-03-30,13358.1
1999-03-31,14081.01
1999-04-01,14005.45
1999-04-05,13194.62
1999-04-06,12977.45
1999-04-07,13119.78
1999-04-08,12876.54
1999-04-09,12129.24
1999-04-12,12146.17
1999-04-13,11995.27
1999-04-15,11381.01
1999-04-16,12206.28
1999-04-17,11477.3
1999-04-19,11841.4
1999-04-20,11991.12
1999-04-21,12238.89
1999-04-22,11942.1
1999-04-23,11695.47
1999-04-26,11050.37
1999-04-28,10964.05
1999-04-29,11357.5
1999-05-03,11779.05
1999-05-04,12504.22
1999-05-05,13240.2
1999-05-06,13722.29
1999-05-07,13898.6
1999-05-10,13622.05
1999-05-11,13728.2
1999-05-12,13309.4
1999-05-13,13525.5
1999-05-14,13516.18
1999-05-17,13139.59
1999-05-18,13385.68
1999-05-19,13257.23
1999-05-20,13664.03
1999-05-21,13566.54
1999-05-24,13533.81
1999-05-25,13703.07
1999-05-26,13425.16
1999-05-27,13105.62
1999-05-28,12838.34
1999-05-31,13318.37
1999-06-01,13225.24
1999-06-02,13340.11
1999-06-03,13450.42
1999-06-04,13370.29
1999-06-07,12994.09
1999-06-08,13044.83
1999-06-09,13269.58
1999-06-10,13305.62
1999-06-11,13055.42
1999-06-14,12681.74
1999-06-15,12330.74
1999-06-16,12345.76
1999-06-17,12433.69
1999-06-18,12281.85
1999-06-21,12959.72
1999-06-22,13260.15
1999-06-23,13259.23
1999-06-24,13282.75
1999-06-25,13376.23
1999-06-28,13707.03
1999-06-29,13669.32
1999-06-30,13575.23
1999-07-01,13648.91
1999-07-02,13606.65
1999-07-05,13872.93
1999-07-06,13996.89
1999-07-07,13934.63
1999-07-08,13676.87
1999-07-09,13766.51
1999-07-12,14414.33
1999-07-13,14372.97
1999-07-14,14894.86
1999-07-15,15053.45
1999-07-16,15154.48
1999-07-19,16332.97
1999-07-20,15441.42
1999-07-21,15430.91
1999-07-22,15272.78
1999-07-23,15054.34
1999-07-26,15496.38
1999-07-27,15372.05
1999-07-28,16164.34
1999-07-29,16518.73
1999-07-30,16489.64
1999-08-02,16936.08
1999-08-03,17031.98
1999-08-04,17500.73
1999-08-05,17223.41
1999-08-06,17396.42
1999-08-09,17575.29
1999-08-10,16981.18
1999-08-11,17441.54
1999-08-12,17618.44
1999-08-13,17275.8
1999-08-16,17662.58
1999-08-17,17812.37
1999-08-18,18116.78
1999-08-19,17880.53
1999-08-20,17737.24
1999-08-23,17896.86
1999-08-24,17960.86
1999-08-25,17876.71
1999-08-26,17998.41
1999-08-27,17998.16
1999-08-30,17886.04
1999-08-31,17911.89
1999-09-01,17748.46
1999-09-02,17467.89
1999-09-03,17403.92
1999-09-06,18033.34
1999-09-07,17713.37
1999-09-08,18177.67
1999-09-09,17887.44
1999-09-10,17992.98
1999-09-14,17730.96
1999-09-15,18151.91
1999-09-16,18102.99
1999-09-17,18916.18
1999-09-20,19941.41
1999-09-21,21186.39
1999-09-22,22002.22
1999-09-23,22866.57
1999-09-24,23363.8
1999-09-27,22707.89
1999-09-28,22235.32
1999-09-29,22634.44
1999-09-30,22528.22
1999-10-01,22324.95
1999-10-04,21631.76
1999-10-05,22542.1
1999-10-06,23057.58
1999-10-07,24612.12
1999-10-08,25097.04
1999-10-11,24867.65
1999-10-12,25063.67
1999-10-13,25259.08
1999-10-14,25034.71
1999-10-15,23895.93
1999-10-18,23631.61
1999-10-20,24072.87
1999-10-21,22921.06
1999-10-22,22139.14
1999-10-23,22459.57
1999-10-25,21114.05
1999-10-26,22151.86
1999-10-27,21959.29
1999-10-28,21228.46
1999-10-29,20330.09
1999-11-01,18970.74
1999-11-02,20392.74
1999-11-03,21285.3
1999-11-04,21830.33
1999-11-05,22571.17
1999-11-07,22875.54
1999-11-09,22874.77
1999-11-10,23335.31
1999-11-11,22727.73
1999-11-12,22723.12
1999-11-15,22450.27
1999-11-16,22359.59
1999-11-17,22138.48
1999-11-18,22792.15
1999-11-19,23245.92
1999-11-22,24322.32
1999-11-24,25043.33
1999-11-25,25476.7
1999-11-26,25748.18
1999-11-29,25614.33
1999-11-30,25468.88
1999-12-01,26264.3
1999-12-02,26198.7
1999-12-03,26597.49
1999-12-06,27430.37
1999-12-07,27833.35
1999-12-08,28426.52
1999-12-09,29101.02
1999-12-10,29912.79
1999-12-13,31067.22
1999-12-14,31745.95
1999-12-15,30274.8
1999-12-16,31276.08
1999-12-17,31593.32
1999-12-20,32710.32
1999-12-21,33972.1
1999-12-22,36544.85
1999-12-23,38087.89
1999-12-24,38315.51
1999-12-27,37556.57
1999-12-28,38635.23
1999-12-29,40549.75
1999-12-30,41742.03
2000-01-03,45015.92
2000-01-04,48221.5
2000-01-05,46430.77
2000-01-06,44433.55
2000-01-07,41106.21
2000-01-10,41674.89
2000-01-11,38970.78
2000-01-12,40098.4
2000-01-13,38931.1
2000-01-14,38980.62
2000-01-17,39986.65
2000-01-18,40184.89
2000-01-19,42040.8
2000-01-20,42053.87
2000-01-21,44498.92
2000-01-24,45887.72
2000-01-25,47946.4
2000-01-27,50147.75
2000-01-28,52634.75
2000-01-31,50705.62
2000-02-01,52828.84
2000-02-02,55348.61
2000-02-03,57942.12
2000-02-04,61568.98
2000-02-07,62957.54
2000-02-08,61895.17
2000-02-09,63573.28
2000-02-10,67288.59
2000-02-11,71879.95
2000-02-14,75718.95
2000-02-15,77024.37
2000-02-16,80853.71
2000-02-17,85991.18
2000-02-18,90027.95
2000-02-21,95501.55
2000-02-22,90909.94
2000-02-23,85082.19
2000-02-24,82230.22
2000-02-25,77275.52
2000-02-28,76282.86
2000-02-29,74537.88
2000-03-01,79742.65
2000-03-02,84763.31
2000-03-03,82696.52
2000-03-06,85600.62
2000-03-07,85595.3
2000-03-08,85552.65
2000-03-09,81787.56
2000-03-10,80159.09
2000-03-13,73951.85
2000-03-14,68430.53
2000-03-15,66953.33
2000-03-16,62902.68
2000-03-21,60907.66
2000-03-22,65100.88
2000-03-23,65527.76
2000-03-24,68919.43
2000-03-27,71179.7
2000-03-28,73433.65
2000-03-29,75545.05
2000-03-30,70505.73
2000-03-31,65240.55
2000-04-03,59926.91
2000-04-04,55134.36
2000-04-05,55011.28
2000-04-06,56163.42
2000-04-07,60041.69
2000-04-10,64845.59
2000-04-11,66487.4
2000-04-12,65245.86
2000-04-13,60601.7
2000-04-17,55686.03
2000-04-18,51763.3
2000-04-19,49136.39
2000-04-20,49885.55
2000-04-24,46967.11
2000-04-25,45762.22
2000-04-26,48441.49
2000-04-27,46733.72
2000-04-28,45085.8
2000-05-02,41133.23
2000-05-03,38226.77
2000-05-04,41810.67
2000-05-05,45327.22
2000-05-08,41238.92
2000-05-09,42959.14
2000-05-10,41331.21
2000-05-11,37791.85
2000-05-12,35637.12
2000-05-15,36380.34
2000-05-16,36396.22
2000-05-17,35809.55
2000-05-18,34399.63
2000-05-19,33145.67
2000-05-22,30167.05
2000-05-23,30899.56
2000-05-24,30262.56
2000-05-25,29923.74
2000-05-26,27915.01
2000-05-29,27732.46
2000-05-30,29563.77
2000-05-31,32394.06
2000-06-01,31782.65
2000-06-02,34161.14
2000-06-05,36434.08
2000-06-06,38396.37
2000-06-07,38934.6
2000-06-08,39915.46
2000-06-09,39263.44
2000-06-12,38608.15
2000-06-13,38495.35
2000-06-14,39307.35
2000-06-15,41113.61
2000-06-16,43434.81
2000-06-19,44648.77
2000-06-20,45385.41
2000-06-21,42870.73
2000-06-22,43176.34
2000-06-23,41063.2
2000-06-26,41737.45
2000-06-27,41235.94
2000-06-28,42194.73
2000-06-29,42314.0
2000-06-30,42411.04
2000-07-03,45031.88
2000-07-04,45724.51
2000-07-05,44866.44
2000-07-06,43977.81
2000-07-07,43461.3
2000-07-10,43018.37
2000-07-11,41892.93
2000-07-12,43690.42
2000-07-13,41634.7
2000-07-14,40708.95
2000-07-17,39922.01
2000-07-18,38851.42
2000-07-19,38198.43
2000-07-20,38233.13
2000-07-21,37125.23
2000-07-24,33591.61
2000-07-25,36559.42
2000-07-26,33758.19
2000-07-27,35178.6
2000-07-28,35232.63
2000-07-31,34587.23
2000-08-01,34372.51
2000-08-02,34359.27
2000-08-03,33423.35
2000-08-04,31361.53
2000-08-07,31587.13
2000-08-08,34875.17
2000-08-09,35801.21
2000-08-10,34357.37
2000-08-11,34273.48
2000-08-14,35006.47
2000-08-16,36926.7
2000-08-17,35895.01
2000-08-18,37752.23
2000-08-21,38740.53
2000-08-22,39740.16
2000-08-23,39060.04
2000-08-24,41368.96
2000-08-25,41357.29
2000-08-28,40495.5
2000-08-29,41089.75
2000-08-30,41773.62
2000-08-31,42979.41
2000-09-04,44928.4
2000-09-05,44231.7
2000-09-06,44048.49
2000-09-07,44073.12
2000-09-08,44703.7
2000-09-11,44064.03
2000-09-12,44325.61
2000-09-13,44174.25
2000-09-14,43594.47
2000-09-15,41553.12
2000-09-18,38552.32
2000-09-19,37724.67
2000-09-20,38601.34
2000-09-21,36976.45
2000-09-22,34437.03
2000-09-25,38249.66
2000-09-26,36511.14
