,Close
2004-08-25,987.95
2004-08-26,979.0
2004-08-27,962.65
2004-08-30,986.75
2004-08-31,988.1
2004-09-01,987.9
2004-09-02,993.65
2004-09-03,997.85
2004-09-06,994.85
2004-09-07,995.6
2004-09-08,993.7
2004-09-09,979.95
2004-09-10,988.8
2004-09-13,1003.5
2004-09-14,1015.65
2004-09-15,1006.1
2004-09-16,1008.45
2004-09-17,1024.5
2004-09-20,1022.9
2004-09-21,1045.8
2004-09-22,1052.05
2004-09-23,1030.25
2004-09-24,1028.8
2004-09-27,1020.75
2004-09-28,1015.55
2004-09-29,1031.0
2004-09-30,1027.1
2004-10-01,1047.7
2004-10-04,1076.5
2004-10-05,1080.7
2004-10-06,1081.6
2004-10-07,1097.1
2004-10-08,1098.05
2004-10-09,1100.65
2004-10-11,1089.3
2004-10-12,1084.45
2004-10-14,1116.2
2004-10-15,1126.0
2004-10-18,1137.25
2004-10-19,1143.2
2004-10-20,1133.25
2004-10-21,1125.55
2004-10-25,1117.35
2004-10-26,1137.2
2004-10-27,1139.9
2004-10-28,1165.95
2004-10-29,1156.25
2004-11-01,1170.65
2004-11-02,1159.7
2004-11-03,1175.2
2004-11-04,1170.4
2004-11-05,1165.45
2004-11-08,1184.15
2004-11-09,1188.4
2004-11-10,1194.35
2004-11-11,1196.25
2004-11-12,1196.75
2004-11-16,1190.9
2004-11-17,1205.4
2004-11-18,1231.0
2004-11-19,1217.1
2004-11-22,1222.45
2004-11-23,1235.55
2004-11-24,1233.9
2004-11-25,1216.85
2004-11-29,1243.9
2004-11-30,1274.65
2004-12-01,1261.55
2004-12-02,1242.6
2004-12-03,1236.75
2004-12-06,1214.55
2004-12-07,1218.25
2004-12-08,1200.8
2004-12-09,1211.45
2004-12-10,1225.65
2004-12-13,1236.15
2004-12-14,1233.15
2004-12-15,1245.5
2004-12-16,1262.65
2004-12-17,1256.5
2004-12-20,1262.55
2004-12-21,1272.7
2004-12-22,1240.15
2004-12-23,1227.85
2004-12-24,1267.95
2004-12-27,1270.55
2004-12-28,1309.35
2004-12-29,1320.25
2004-12-30,1296.65
2004-12-31,1335.45
2005-01-03,1353.25
2005-01-04,1341.25
2005-01-05,1325.0
2005-01-06,1320.45
2005-01-07,1339.95
2005-01-10,1327.45
