filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,loss
12,3,7,200.0,0.5,700.0,0.0,0.0
12,3,7,200.0,0.5,700.0,0.0,0.5
12,3,7,200.0,0.5,700.0,0.1,0.0
12,3,7,200.0,0.5,700.0,0.1,0.5
12,3,7,600.0,0.5,700.0,0.0,0.0
12,3,7,600.0,0.5,700.0,0.0,0.5
12,3,7,600.0,0.5,700.0,0.1,0.0
12,3,7,600.0,0.5,700.0,0.1,0.5
12,3,20,200.0,0.5,700.0,0.0,0.0
12,3,20,200.0,0.5,700.0,0.0,0.5
12,3,20,200.0,0.5,700.0,0.1,0.0
12,3,20,200.0,0.5,700.0,0.1,0.5
12,3,20,600.0,0.5,700.0,0.0,0.0
12,3,20,600.0,0.5,700.0,0.0,0.5
12,3,20,600.0,0.5,700.0,0.1,0.0
12,3,20,600.0,0.5,700.0,0.1,0.5
24,3,7,200.0,0.5,700.0,0.0,0.0
24,3,7,200.0,0.5,700.0,0.0,0.5
24,3,7,200.0,0.5,700.0,0.1,0.0
24,3,7,200.0,0.5,700.0,0.1,0.5
24,3,7,600.0,0.5,700.0,0.0,0.0
24,3,7,600.0,0.5,700.0,0.0,0.5
24,3,7,600.0,0.5,700.0,0.1,0.0
24,3,7,600.0,0.5,700.0,0.1,0.5
24,3,20,200.0,0.5,700.0,0.0,0.0
24,3,20,200.0,0.5,700.0,0.0,0.5
24,3,20,200.0,0.5,700.0,0.1,0.0
24,3,20,200.0,0.5,700.0,0.1,0.5
24,3,20,600.0,0.5,700.0,0.0,0.0
24,3,20,600.0,0.5,700.0,0.0,0.5
24,3,20,600.0,0.5,700.0,0.1,0.0
24,3,20,600.0,0.5,700.0,0.1,0.5
