filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout
12,3,20,200.0,0.5,0.0,0.0
12,3,20,200.0,0.5,0.0,0.1
12,3,20,200.0,0.5,100.0,0.0
12,3,20,200.0,0.5,100.0,0.1
12,3,20,200.0,0.5,700.0,0.0
12,3,20,200.0,0.5,700.0,0.1
12,5,20,200.0,0.5,0.0,0.0
12,5,20,200.0,0.5,0.0,0.1
12,5,20,200.0,0.5,100.0,0.0
12,5,20,200.0,0.5,100.0,0.1
12,5,20,200.0,0.5,700.0,0.0
12,5,20,200.0,0.5,700.0,0.1
15,3,20,200.0,0.5,0.0,0.0
15,3,20,200.0,0.5,0.0,0.1
15,3,20,200.0,0.5,100.0,0.0
15,3,20,200.0,0.5,100.0,0.1
15,3,20,200.0,0.5,700.0,0.0
15,3,20,200.0,0.5,700.0,0.1
15,5,20,200.0,0.5,0.0,0.0
15,5,20,200.0,0.5,0.0,0.1
15,5,20,200.0,0.5,100.0,0.0
15,5,20,200.0,0.5,100.0,0.1
15,5,20,200.0,0.5,700.0,0.0
15,5,20,200.0,0.5,700.0,0.1
20,3,20,200.0,0.5,0.0,0.0
20,3,20,200.0,0.5,0.0,0.1
20,3,20,200.0,0.5,100.0,0.0
20,3,20,200.0,0.5,100.0,0.1
20,3,20,200.0,0.5,700.0,0.0
20,3,20,200.0,0.5,700.0,0.1
20,5,20,200.0,0.5,0.0,0.0
20,5,20,200.0,0.5,0.0,0.1
20,5,20,200.0,0.5,100.0,0.0
20,5,20,200.0,0.5,100.0,0.1
20,5,20,200.0,0.5,700.0,0.0
20,5,20,200.0,0.5,700.0,0.1
