filters,kernel_size,padding,pool_size,conv_l2,conv_dropout,output_dropout
15,5,same,20,10.0,0.0,0.0
15,5,same,20,10.0,0.0,0.05
15,5,same,20,10.0,0.1,0.0
15,5,same,20,10.0,0.1,0.05
15,5,same,20,10.0,0.2,0.0
15,5,same,20,10.0,0.2,0.05
15,5,same,20,1.0,0.0,0.0
15,5,same,20,1.0,0.0,0.05
15,5,same,20,1.0,0.1,0.0
15,5,same,20,1.0,0.1,0.05
15,5,same,20,1.0,0.2,0.0
15,5,same,20,1.0,0.2,0.05
15,5,same,20,0.0,0.0,0.0
15,5,same,20,0.0,0.0,0.05
15,5,same,20,0.0,0.1,0.0
15,5,same,20,0.0,0.1,0.05
15,5,same,20,0.0,0.2,0.0
15,5,same,20,0.0,0.2,0.05
15,5,valid,20,10.0,0.0,0.0
15,5,valid,20,10.0,0.0,0.05
15,5,valid,20,10.0,0.1,0.0
15,5,valid,20,10.0,0.1,0.05
15,5,valid,20,10.0,0.2,0.0
15,5,valid,20,10.0,0.2,0.05
15,5,valid,20,1.0,0.0,0.0
15,5,valid,20,1.0,0.0,0.05
15,5,valid,20,1.0,0.1,0.0
15,5,valid,20,1.0,0.1,0.05
15,5,valid,20,1.0,0.2,0.0
15,5,valid,20,1.0,0.2,0.05
15,5,valid,20,0.0,0.0,0.0
15,5,valid,20,0.0,0.0,0.05
15,5,valid,20,0.0,0.1,0.0
15,5,valid,20,0.0,0.1,0.05
15,5,valid,20,0.0,0.2,0.0
15,5,valid,20,0.0,0.2,0.05
