filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_dropout,recurrent_l2,output_droput
10,3,300.0,0.1,50,0.3,0.0,0.0,600.0,0.1
10,3,300.0,0.1,50,0.3,0.0,0.0,600.0,0.0
10,3,300.0,0.1,50,0.3,0.0,0.0,10.0,0.1
10,3,300.0,0.1,50,0.3,0.0,0.0,10.0,0.0
10,3,300.0,0.1,40,0.3,0.0,0.0,600.0,0.1
10,3,300.0,0.1,40,0.3,0.0,0.0,600.0,0.0
10,3,300.0,0.1,40,0.3,0.0,0.0,10.0,0.1
10,3,300.0,0.1,40,0.3,0.0,0.0,10.0,0.0
5,3,300.0,0.1,50,0.3,0.0,0.0,600.0,0.1
5,3,300.0,0.1,50,0.3,0.0,0.0,600.0,0.0
5,3,300.0,0.1,50,0.3,0.0,0.0,10.0,0.1
5,3,300.0,0.1,50,0.3,0.0,0.0,10.0,0.0
5,3,300.0,0.1,40,0.3,0.0,0.0,600.0,0.1
5,3,300.0,0.1,40,0.3,0.0,0.0,600.0,0.0
5,3,300.0,0.1,40,0.3,0.0,0.0,10.0,0.1
5,3,300.0,0.1,40,0.3,0.0,0.0,10.0,0.0
