lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,recurrent_l2
20,0.4,0.3,0.0,0.0
20,0.4,0.3,0.0,70.0
20,0.4,0.3,0.0,700.0
20,0.4,0.3,70.0,0.0
20,0.4,0.3,70.0,70.0
20,0.4,0.3,70.0,700.0
20,0.4,0.3,700.0,0.0
20,0.4,0.3,700.0,70.0
20,0.4,0.3,700.0,700.0
30,0.4,0.3,0.0,0.0
30,0.4,0.3,0.0,70.0
30,0.4,0.3,0.0,700.0
30,0.4,0.3,70.0,0.0
30,0.4,0.3,70.0,70.0
30,0.4,0.3,70.0,700.0
30,0.4,0.3,700.0,0.0
30,0.4,0.3,700.0,70.0
30,0.4,0.3,700.0,700.0
40,0.4,0.3,0.0,0.0
40,0.4,0.3,0.0,70.0
40,0.4,0.3,0.0,700.0
40,0.4,0.3,70.0,0.0
40,0.4,0.3,70.0,70.0
40,0.4,0.3,70.0,700.0
40,0.4,0.3,700.0,0.0
40,0.4,0.3,700.0,70.0
40,0.4,0.3,700.0,700.0
