hidden_units,hidden_dropout,hidden_l2,output_l2
15,0.05,40.0,0.0
15,0.05,40.0,10.0
15,0.05,400.0,0.0
15,0.05,400.0,10.0
15,0.05,700.0,0.0
15,0.05,700.0,10.0
15,0.1,40.0,0.0
15,0.1,40.0,10.0
15,0.1,400.0,0.0
15,0.1,400.0,10.0
15,0.1,700.0,0.0
15,0.1,700.0,10.0
15,0.15,40.0,0.0
15,0.15,40.0,10.0
15,0.15,400.0,0.0
15,0.15,400.0,10.0
15,0.15,700.0,0.0
15,0.15,700.0,10.0
20,0.05,40.0,0.0
20,0.05,40.0,10.0
20,0.05,400.0,0.0
20,0.05,400.0,10.0
20,0.05,700.0,0.0
20,0.05,700.0,10.0
20,0.1,40.0,0.0
20,0.1,40.0,10.0
20,0.1,400.0,0.0
20,0.1,400.0,10.0
20,0.1,700.0,0.0
20,0.1,700.0,10.0
20,0.15,40.0,0.0
20,0.15,40.0,10.0
20,0.15,400.0,0.0
20,0.15,400.0,10.0
20,0.15,700.0,0.0
20,0.15,700.0,10.0
25,0.05,40.0,0.0
25,0.05,40.0,10.0
25,0.05,400.0,0.0
25,0.05,400.0,10.0
25,0.05,700.0,0.0
25,0.05,700.0,10.0
25,0.1,40.0,0.0
25,0.1,40.0,10.0
25,0.1,400.0,0.0
25,0.1,400.0,10.0
25,0.1,700.0,0.0
25,0.1,700.0,10.0
25,0.15,40.0,0.0
25,0.15,40.0,10.0
25,0.15,400.0,0.0
25,0.15,400.0,10.0
25,0.15,700.0,0.0
25,0.15,700.0,10.0
