hidden_units,hidden_dropout,hidden_l2,output_dropout,output_l2
20,0.0,700.0,0.0,10.0
20,0.0,700.0,0.0,50.0
20,0.0,700.0,0.0,100.0
20,0.0,700.0,0.0,300.0
20,0.0,700.0,0.1,10.0
20,0.0,700.0,0.1,50.0
20,0.0,700.0,0.1,100.0
20,0.0,700.0,0.1,300.0
20,0.0,800.0,0.0,10.0
20,0.0,800.0,0.0,50.0
20,0.0,800.0,0.0,100.0
20,0.0,800.0,0.0,300.0
20,0.0,800.0,0.1,10.0
20,0.0,800.0,0.1,50.0
20,0.0,800.0,0.1,100.0
20,0.0,800.0,0.1,300.0
20,0.0,900.0,0.0,10.0
20,0.0,900.0,0.0,50.0
20,0.0,900.0,0.0,100.0
20,0.0,900.0,0.0,300.0
20,0.0,900.0,0.1,10.0
20,0.0,900.0,0.1,50.0
20,0.0,900.0,0.1,100.0
20,0.0,900.0,0.1,300.0
20,0.15,700.0,0.0,10.0
20,0.15,700.0,0.0,50.0
20,0.15,700.0,0.0,100.0
20,0.15,700.0,0.0,300.0
20,0.15,700.0,0.1,10.0
20,0.15,700.0,0.1,50.0
20,0.15,700.0,0.1,100.0
20,0.15,700.0,0.1,300.0
20,0.15,800.0,0.0,10.0
20,0.15,800.0,0.0,50.0
20,0.15,800.0,0.0,100.0
20,0.15,800.0,0.0,300.0
20,0.15,800.0,0.1,10.0
20,0.15,800.0,0.1,50.0
20,0.15,800.0,0.1,100.0
20,0.15,800.0,0.1,300.0
20,0.15,900.0,0.0,10.0
20,0.15,900.0,0.0,50.0
20,0.15,900.0,0.0,100.0
20,0.15,900.0,0.0,300.0
20,0.15,900.0,0.1,10.0
20,0.15,900.0,0.1,50.0
20,0.15,900.0,0.1,100.0
20,0.15,900.0,0.1,300.0
20,0.2,700.0,0.0,10.0
20,0.2,700.0,0.0,50.0
20,0.2,700.0,0.0,100.0
20,0.2,700.0,0.0,300.0
20,0.2,700.0,0.1,10.0
20,0.2,700.0,0.1,50.0
20,0.2,700.0,0.1,100.0
20,0.2,700.0,0.1,300.0
20,0.2,800.0,0.0,10.0
20,0.2,800.0,0.0,50.0
20,0.2,800.0,0.0,100.0
20,0.2,800.0,0.0,300.0
20,0.2,800.0,0.1,10.0
20,0.2,800.0,0.1,50.0
20,0.2,800.0,0.1,100.0
20,0.2,800.0,0.1,300.0
20,0.2,900.0,0.0,10.0
20,0.2,900.0,0.0,50.0
20,0.2,900.0,0.0,100.0
20,0.2,900.0,0.0,300.0
20,0.2,900.0,0.1,10.0
20,0.2,900.0,0.1,50.0
20,0.2,900.0,0.1,100.0
20,0.2,900.0,0.1,300.0
20,0.3,700.0,0.0,10.0
20,0.3,700.0,0.0,50.0
20,0.3,700.0,0.0,100.0
20,0.3,700.0,0.0,300.0
20,0.3,700.0,0.1,10.0
20,0.3,700.0,0.1,50.0
20,0.3,700.0,0.1,100.0
20,0.3,700.0,0.1,300.0
20,0.3,800.0,0.0,10.0
20,0.3,800.0,0.0,50.0
20,0.3,800.0,0.0,100.0
20,0.3,800.0,0.0,300.0
20,0.3,800.0,0.1,10.0
20,0.3,800.0,0.1,50.0
20,0.3,800.0,0.1,100.0
20,0.3,800.0,0.1,300.0
20,0.3,900.0,0.0,10.0
20,0.3,900.0,0.0,50.0
20,0.3,900.0,0.0,100.0
20,0.3,900.0,0.0,300.0
20,0.3,900.0,0.1,10.0
20,0.3,900.0,0.1,50.0
20,0.3,900.0,0.1,100.0
20,0.3,900.0,0.1,300.0
