hidden_units,hidden_dropout,hidden_l2,output_l2,loss
20,0.15,400.0,10.0,0.0
20,0.15,400.0,10.0,0.2
20,0.15,400.0,10.0,0.5
20,0.15,400.0,100.0,0.0
20,0.15,400.0,100.0,0.2
20,0.15,400.0,100.0,0.5
20,0.15,200.0,10.0,0.0
20,0.15,200.0,10.0,0.2
20,0.15,200.0,10.0,0.5
20,0.15,200.0,100.0,0.0
20,0.15,200.0,100.0,0.2
20,0.15,200.0,100.0,0.5
20,0.15,100.0,10.0,0.0
20,0.15,100.0,10.0,0.2
20,0.15,100.0,10.0,0.5
20,0.15,100.0,100.0,0.0
20,0.15,100.0,100.0,0.2
20,0.15,100.0,100.0,0.5
20,0.2,400.0,10.0,0.0
20,0.2,400.0,10.0,0.2
20,0.2,400.0,10.0,0.5
20,0.2,400.0,100.0,0.0
20,0.2,400.0,100.0,0.2
20,0.2,400.0,100.0,0.5
20,0.2,200.0,10.0,0.0
20,0.2,200.0,10.0,0.2
20,0.2,200.0,10.0,0.5
20,0.2,200.0,100.0,0.0
20,0.2,200.0,100.0,0.2
20,0.2,200.0,100.0,0.5
20,0.2,100.0,10.0,0.0
20,0.2,100.0,10.0,0.2
20,0.2,100.0,10.0,0.5
20,0.2,100.0,100.0,0.0
20,0.2,100.0,100.0,0.2
20,0.2,100.0,100.0,0.5
