filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,mse_0
12,3,7,200,0.6,700,0.1,1084.652849
12,3,7,200,0.6,700,0.2,1084.652917
8,3,7,200,0.6,700,0.1,1084.653021
8,3,7,200,0.4,700,0.1,1084.653125
12,3,7,200,0.4,700,0.1,1084.653132
12,3,7,200,0.4,700,0.2,1084.653176
8,3,7,200,0.6,700,0.2,1084.653414
8,3,7,200,0.4,700,0.2,1084.653437
8,3,4,200,0.4,700,0.2,1084.654733
8,3,4,200,0.4,700,0.1,1084.654977
12,3,4,200,0.6,700,0.2,1084.655269
12,3,4,200,0.6,700,0.1,1084.655324
8,3,4,200,0.6,700,0.2,1084.655325
8,3,4,200,0.6,700,0.1,1084.655395
12,3,4,200,0.4,700,0.1,1084.65571
12,3,4,200,0.4,700,0.2,1084.65589
12,3,2,200,0.4,700,0.2,1084.659877
12,3,2,200,0.4,700,0.1,1084.660048
8,3,2,200,0.4,700,0.1,1084.660273
8,3,2,200,0.6,700,0.2,1084.66053
8,3,2,200,0.4,700,0.2,1084.660545
12,3,2,200,0.6,700,0.1,1084.660639
12,3,2,200,0.6,700,0.2,1084.66083
10,3,2,200,0.4,700,0.1,1084.661307
10,3,2,200,0.4,700,0.2,1084.661404
8,3,2,200,0.6,700,0.1,1084.661493
10,3,2,200,0.6,700,0.1,1084.662585
10,3,2,200,0.6,700,0.2,1084.662714
10,3,7,200,0.6,700,0.1,1084.665025
10,3,7,200,0.4,700,0.1,1084.665302
10,3,7,200,0.6,700,0.2,1084.665811
10,3,7,200,0.4,700,0.2,1084.66585
10,3,4,200,0.6,700,0.2,1084.666045
10,3,4,200,0.4,700,0.2,1084.666359
10,3,4,200,0.4,700,0.1,1084.666897
10,3,4,200,0.6,700,0.1,1084.66727
