filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,loss,mse_0
12,3,20,200,0.5,700,0.1,0,1084.642243
12,3,20,200,0.5,700,0,0,1084.642345
12,3,20,200,0.5,700,0.1,0.5,1084.642724
12,3,20,600,0.5,700,0.1,0,1084.642782
12,3,20,600,0.5,700,0,0,1084.642817
12,3,20,200,0.5,700,0,0.5,1084.642866
12,3,20,600,0.5,700,0.1,0.5,1084.643357
12,3,20,600,0.5,700,0,0.5,1084.643396
24,3,20,600,0.5,700,0,0,1084.649424
24,3,20,600,0.5,700,0.1,0,1084.649485
24,3,20,200,0.5,700,0,0,1084.649543
24,3,20,200,0.5,700,0.1,0,1084.649671
24,3,20,600,0.5,700,0,0.5,1084.650746
24,3,20,600,0.5,700,0.1,0.5,1084.650833
24,3,20,200,0.5,700,0,0.5,1084.651179
24,3,20,200,0.5,700,0.1,0.5,1084.651306
12,3,7,600,0.5,700,0.1,0,1084.653041
12,3,7,600,0.5,700,0,0,1084.653094
12,3,7,200,0.5,700,0.1,0,1084.653144
12,3,7,200,0.5,700,0,0,1084.653199
24,3,7,600,0.5,700,0,0,1084.653423
24,3,7,600,0.5,700,0.1,0,1084.653511
24,3,7,200,0.5,700,0,0,1084.653553
24,3,7,200,0.5,700,0.1,0,1084.653652
12,3,7,600,0.5,700,0.1,0.5,1084.655162
12,3,7,600,0.5,700,0,0.5,1084.655217
12,3,7,200,0.5,700,0.1,0.5,1084.655407
12,3,7,200,0.5,700,0,0.5,1084.655462
24,3,7,600,0.5,700,0,0.5,1084.655589
24,3,7,600,0.5,700,0.1,0.5,1084.655682
24,3,7,200,0.5,700,0,0.5,1084.65584
24,3,7,200,0.5,700,0.1,0.5,1084.65595
