filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,mse_0
15,5,20,100,0.1,0,1080.581905
15,5,20,100,0.1,1,1081.713422
15,5,20,200,0.1,0,1081.903519
15,5,20,100,0.5,0,1081.952662
15,5,20,100,0.5,1,1082.656178
15,5,20,200,0.1,1,1082.760811
15,5,20,200,0.5,0,1082.86767
15,5,20,200,0.5,1,1083.279911
15,5,20,800,0.1,0,1083.716736
15,5,20,800,0.5,0,1083.801681
15,5,20,800,0.5,1,1084.004869
15,5,20,800,0.1,1,1084.058706
15,5,20,100,0.5,10,1084.43312
15,5,20,100,0.1,10,1084.5436
15,5,20,200,0.5,10,1084.54361
15,5,20,200,0.1,10,1084.606833
15,5,20,800,0.5,10,1084.640155
15,5,20,800,0.1,10,1084.648904
