filters,kernel_size,padding,pool_size,conv_l2,conv_dropout,output_dropout,mse_0
4,3,same,5,0,0,0,1085.459578
4,3,valid,7,0,0,0,1085.647705
4,3,same,5,0,0,0.2,1086.416365
4,3,valid,7,0,0,0.2,1088.096145
4,3,valid,7,0,0.5,0,1088.807007
15,3,valid,5,0,0.5,0,1088.831769
4,3,same,7,0,0,0.2,1089.834149
15,3,same,5,0,0.5,0.2,1089.997353
4,3,same,7,0,0,0,1090.145946
4,3,valid,7,0,0.5,0.2,1090.770267
4,3,same,5,0,0.5,0.2,1090.976234
4,3,valid,5,0,0,0.2,1091.065103
4,3,same,5,0,0.5,0,1091.534432
4,3,valid,5,0,0.5,0.2,1091.554008
15,3,same,5,0,0.5,0,1091.609019
15,3,same,5,600,0,0,1091.720257
15,3,valid,5,0,0.5,0.2,1091.826009
15,3,same,5,600,0,0.2,1092.024224
4,3,same,7,600,0,0.2,1092.347299
15,3,same,5,600,0.5,0,1092.352322
4,3,valid,7,600,0,0.2,1092.381929
4,3,same,7,600,0,0,1092.400266
15,3,valid,7,0,0.5,0.2,1092.416193
4,3,valid,7,600,0,0,1092.428706
4,3,valid,5,0,0.5,0,1092.50879
15,3,valid,7,600,0,0.2,1092.61512
15,3,same,7,600,0,0,1092.621609
15,3,valid,7,600,0,0,1092.682778
15,3,same,7,600,0,0.2,1092.73638
15,3,same,5,600,0.5,0.2,1092.74212
4,3,valid,7,600,0.5,0.2,1092.847981
4,3,same,5,600,0.5,0,1092.858572
4,3,valid,7,600,0.5,0,1092.865501
4,3,valid,5,600,0,0.2,1092.959824
15,3,valid,5,600,0,0.2,1092.974557
4,3,valid,5,600,0.5,0,1092.988583
4,3,valid,5,600,0.5,0.2,1092.988624
4,3,same,7,600,0.5,0.2,1093.0055
4,3,valid,5,600,0,0,1093.024633
4,3,same,5,600,0,0,1093.043028
4,3,same,7,600,0.5,0,1093.077366
15,3,valid,5,600,0,0,1093.113122
4,3,valid,5,0,0,0,1093.133625
4,3,same,5,600,0,0.2,1093.136446
4,3,same,5,600,0.5,0.2,1093.217654
15,3,same,7,600,0.5,0,1093.30043
15,3,valid,5,600,0.5,0.2,1093.322249
15,3,valid,5,600,0.5,0,1093.356778
15,3,valid,7,600,0.5,0,1093.361059
15,3,same,7,600,0.5,0.2,1093.364459
15,3,valid,7,600,0.5,0.2,1093.45388
4,3,same,7,0,0.5,0.2,1093.490631
15,3,same,7,0,0.5,0.2,1093.543548
15,3,same,7,0,0.5,0,1093.723045
4,3,same,7,0,0.5,0,1093.94091
15,3,valid,7,0,0.5,0,1094.169521
15,3,same,7,0,0,0.2,1094.634383
15,3,same,5,0,0,0.2,1095.480205
15,3,valid,7,0,0,0.2,1096.177198
15,3,valid,5,0,0,0.2,1096.54818
15,3,same,7,0,0,0,1098.270857
15,3,same,5,0,0,0,1101.324294
15,3,valid,5,0,0,0,1101.505984
15,3,valid,7,0,0,0,1103.377037
