filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_dropout,recurrent_l2,output_droput,mse_0
10,3,600,0.1,20,0.3,50,0.3,0,0.1,1071.661275
10,3,600,0.1,20,0.3,500,0,0,0.1,1078.113801
10,3,600,0.1,50,0.3,50,0.3,0,0.1,1081.308084
10,3,600,0.1,20,0.3,50,0,0,0.1,1082.270236
10,3,600,0.1,50,0.3,500,0,0,0.1,1084.63297
10,3,600,0.1,50,0.3,500,0.3,0,0.1,1084.646167
10,3,600,0.1,80,0.3,500,0.3,0,0.1,1084.649472
10,3,600,0.1,20,0.3,500,0.3,0,0.1,1084.650417
10,3,600,0.1,80,0.3,500,0,0,0.1,1084.684212
10,3,600,0.1,20,0.3,0,0,0,0.1,1085.200899
10,3,600,0.1,20,0.3,0,0.3,0,0.1,1088.364831
10,3,600,0.1,80,0.3,50,0.3,0,0.1,1090.9868
10,3,600,0.1,50,0.3,50,0,0,0.1,1101.893624
10,3,600,0.1,80,0.3,50,0,0,0.1,1136.29124
10,3,600,0.1,50,0.3,0,0.3,0,0.1,1175.2499
10,3,600,0.1,50,0.3,0,0,0,0.1,1212.273518
10,3,600,0.1,80,0.3,0,0.3,0,0.1,1235.904675
10,3,600,0.1,80,0.3,0,0,0,0.1,1307.288916
