filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_l2,output_droput,mse_0
10,3,300,0.2,50,0.3,0,600,0.1,1076.553175
10,3,400,0.2,50,0.3,0,600,0.1,1077.197396
10,3,400,0.1,50,0.3,0,600,0.1,1077.799202
10,3,300,0.3,50,0.3,0,600,0.1,1077.828172
10,3,600,0.2,50,0.3,0,600,0.1,1077.946139
10,3,300,0.1,50,0.3,0,600,0.1,1078.069222
10,3,400,0.3,50,0.3,0,600,0.1,1078.672607
10,3,600,0.1,50,0.3,0,600,0.1,1079.082783
10,3,600,0.3,50,0.3,0,600,0.1,1079.327749
10,3,600,0,50,0.3,0,600,0.1,1082.77569
10,3,400,0,50,0.3,0,600,0.1,1083.842805
10,3,300,0,50,0.3,0,600,0.1,1085.265377
