hidden_units,hidden_dropout,hidden_l2,output_l2,loss,mse_0
20,0.2,400,10,0,1073.511456
20,0.15,400,10,0.2,1073.94962
20,0.15,400,10,0,1074.304817
20,0.15,200,100,0.5,1074.766809
20,0.15,200,100,0.2,1075.086221
20,0.2,200,100,0.5,1075.303711
20,0.2,400,10,0.2,1075.376373
20,0.2,200,100,0.2,1075.488612
20,0.2,200,100,0,1075.803103
20,0.15,200,100,0,1075.9535
20,0.15,400,10,0.5,1076.082086
20,0.15,100,100,0,1076.954156
20,0.2,400,100,0.5,1077.454283
20,0.2,100,100,0,1077.626724
20,0.15,400,100,0.5,1077.748602
20,0.2,400,100,0.2,1077.780355
20,0.2,400,10,0.5,1078.386882
20,0.15,400,100,0.2,1078.785333
20,0.2,400,100,0,1078.971797
20,0.15,400,100,0,1079.29535
20,0.15,100,100,0.2,1079.810888
20,0.2,100,100,0.2,1080.17106
20,0.2,200,10,0,1083.080657
20,0.15,200,10,0,1083.604309
20,0.2,100,100,0.5,1083.837267
20,0.2,200,10,0.2,1084.657544
20,0.15,100,100,0.5,1085.552974
20,0.15,200,10,0.2,1085.927527
20,0.15,200,10,0.5,1090.645759
20,0.2,200,10,0.5,1094.827679
20,0.2,100,10,0,1112.711673
20,0.2,100,10,0.2,1118.838174
20,0.15,100,10,0,1127.285407
20,0.2,100,10,0.5,1128.731471
20,0.15,100,10,0.2,1133.784822
20,0.15,100,10,0.5,1140.138263
