hidden_units,hidden_dropout,hidden_l2,output_dropout,output_l2,mse_0
20,0,800,0,300,1000.412724
20,0.3,800,0,300,1000.433857
20,0,700,0.1,300,1000.447715
20,0,900,0,300,1000.451166
20,0,900,0.1,300,1000.451479
20,0.3,900,0,300,1000.459529
20,0,800,0.1,300,1000.459733
20,0.15,800,0,300,1000.50909
20,0.15,900,0,300,1000.518717
20,0.3,700,0,300,1000.519893
20,0.3,900,0.1,300,1000.52072
20,0.3,800,0.1,300,1000.522551
20,0,700,0,300,1000.530675
20,0.15,700,0,300,1000.544688
20,0.3,700,0.1,300,1000.554751
20,0.2,700,0,300,1000.583613
20,0.2,900,0,300,1000.587798
20,0.2,800,0,300,1000.593426
20,0.2,900,0.1,300,1000.600184
20,0.15,900,0.1,300,1000.617293
20,0.2,800,0.1,300,1000.640422
20,0.15,800,0.1,300,1000.642938
20,0.15,700,0.1,300,1000.664144
20,0.2,700,0.1,300,1000.699966
20,0,900,0,100,1001.405897
20,0,800,0,100,1001.776776
20,0,900,0.1,100,1001.988204
20,0.3,900,0,100,1002.280369
20,0.3,800,0,100,1002.704995
20,0.15,900,0,100,1002.753705
20,0.3,900,0.1,100,1002.827326
20,0.3,800,0.1,100,1002.948581
20,0.3,700,0,100,1003.072946
20,0.15,900,0.1,100,1003.17653
20,0.2,900,0,100,1003.359566
20,0.15,800,0,100,1003.505608
20,0,700,0.1,100,1003.546361
20,0,800,0.1,100,1003.642638
20,0.2,900,0.1,100,1003.72486
20,0.2,800,0,100,1003.861613
20,0.3,700,0.1,100,1003.879563
20,0,700,0,100,1003.936308
20,0.15,800,0.1,100,1003.971241
20,0.2,700,0,100,1004.025151
20,0.2,800,0.1,100,1004.28825
20,0.15,700,0,100,1004.350515
20,0.3,900,0,50,1004.710076
20,0.15,700,0.1,100,1004.813618
20,0.3,800,0,50,1004.966698
20,0,900,0,50,1005.115149
20,0.2,700,0.1,100,1005.477984
20,0.3,900,0.1,50,1006.093629
20,0.3,800,0.1,50,1006.711051
20,0,800,0.1,50,1006.818487
20,0.3,700,0,50,1006.932125
20,0,900,0.1,50,1007.375015
20,0.15,800,0,50,1008.108815
20,0.15,900,0,50,1008.198309
20,0.2,900,0,50,1008.42234
20,0.3,700,0.1,50,1008.553484
20,0,800,0,50,1008.578355
20,0.2,900,0.1,50,1009.019283
20,0.2,800,0,50,1009.139485
20,0.2,800,0.1,50,1009.740256
20,0.15,900,0.1,50,1009.822775
20,0.15,800,0.1,50,1010.287613
20,0.2,700,0,50,1010.29558
20,0.2,700,0.1,50,1010.325651
20,0.15,700,0,50,1010.544807
20,0.15,700,0.1,50,1011.13872
20,0,700,0.1,50,1011.415767
20,0.3,800,0,10,1011.710872
20,0.3,900,0,10,1011.964726
20,0,700,0,50,1012.954682
20,0.3,700,0,10,1015.075986
20,0.3,900,0.1,10,1015.924876
20,0.3,700,0.1,10,1018.749631
20,0.3,800,0.1,10,1019.074703
20,0.2,800,0,10,1020.528748
20,0.2,900,0.1,10,1021.502452
20,0.2,900,0,10,1021.575458
20,0.2,800,0.1,10,1023.721218
20,0.15,900,0.1,10,1023.809266
20,0.15,900,0,10,1024.504322
20,0.15,800,0,10,1025.560776
20,0.2,700,0.1,10,1025.63435
20,0,900,0.1,10,1027.053906
20,0.2,700,0,10,1027.490185
20,0,900,0,10,1027.545135
20,0.15,800,0.1,10,1027.606454
20,0,800,0,10,1028.776681
20,0.15,700,0,10,1029.860036
20,0.15,700,0.1,10,1032.975435
20,0,800,0.1,10,1036.529793
20,0,700,0.1,10,1037.659126
20,0,700,0,10,1041.418907
