hidden_units,hidden_l2,output_l2,hidden_dropout,loss,mse_0
120,10,10,0.2,0.1,1307.901262
120,10,10,0.2,1,1326.720243
120,10,10,0.2,0.5,1326.823084
120,10,10,0.2,0,1328.410297
120,10,10,0.2,2,1333.34745
120,10,10,0.2,5,1339.867494
40,10,10,0.2,0.5,1363.437058
40,10,10,0.2,0,1367.10556
40,10,10,0.2,1,1371.354954
40,10,10,0.2,0.1,1373.912545
80,10,10,0.2,2,1396.009639
80,10,10,0.2,1,1403.999461
80,10,10,0.2,0.5,1406.798197
80,10,10,0.2,5,1410.710395
40,10,10,0.2,2,1411.079988
80,10,10,0.2,0.1,1412.118022
80,10,10,0.2,0,1434.242987
20,10,10,0.2,0,1451.546498
20,10,10,0.2,0.1,1452.32755
40,10,10,0.2,5,1460.407694
120,10,10,0,5,1465.514546
120,10,10,0,2,1471.713055
20,10,10,0.2,0.5,1476.350378
120,10,10,0,0,1476.554608
120,10,10,0,0.5,1485.483549
20,10,10,0.2,1,1500.166977
120,10,10,0,1,1506.490052
120,10,10,0,0.1,1511.667143
20,10,10,0.2,2,1521.357263
80,10,10,0,2,1523.442738
80,10,10,0,5,1529.778922
80,10,10,0,1,1541.625902
80,10,10,0,0,1563.4305
20,10,10,0.2,5,1567.110297
80,10,10,0,0.5,1571.960509
80,10,10,0,0.1,1588.282755
40,10,10,0,0,1668.776959
40,10,10,0,0.5,1675.889931
40,10,10,0,0.1,1693.624212
40,10,10,0,1,1699.91286
40,10,10,0,2,1711.865924
20,10,10,0,0,1786.238546
40,10,10,0,5,1803.911245
20,10,10,0,0.1,1810.878869
20,10,10,0,0.5,1851.279575
20,10,10,0,1,1856.995123
20,10,10,0,2,1909.079927
20,10,10,0,5,1983.032874
