hidden_units,hidden_dropout,hidden_l2,output_l2,mse_0
15,0.1,40,10,1081.024826
15,0.15,40,10,1081.034295
15,0.1,40,0,1081.406608
15,0.15,40,0,1081.566164
15,0.1,400,0,1084.762363
15,0.15,400,0,1084.964394
15,0.05,40,10,1085.207276
15,0.05,400,0,1085.981318
15,0.15,400,10,1086.040543
15,0.1,400,10,1086.108316
15,0.05,40,0,1086.547625
25,0.1,400,0,1086.610875
20,0.1,400,0,1086.903418
15,0.05,400,10,1087.072359
20,0.15,400,0,1087.204272
15,0.1,700,0,1087.365189
15,0.15,700,0,1087.524446
20,0.05,400,0,1087.645778
15,0.05,700,0,1087.996354
20,0.1,400,10,1088.025797
25,0.15,400,0,1088.130324
15,0.1,700,10,1088.232257
25,0.15,400,10,1088.384616
15,0.15,700,10,1088.488214
25,0.1,700,0,1088.607377
20,0.15,400,10,1088.696189
15,0.05,700,10,1088.756656
20,0.15,700,0,1088.808982
20,0.1,700,0,1088.834596
25,0.15,700,0,1088.939309
25,0.1,400,10,1088.989474
25,0.05,400,10,1089.118378
25,0.05,400,0,1089.259974
20,0.05,400,10,1089.447543
20,0.05,700,0,1089.463249
20,0.1,700,10,1089.545794
20,0.15,700,10,1089.611492
25,0.1,700,10,1089.749012
25,0.05,700,0,1089.790565
25,0.15,700,10,1089.941215
25,0.05,700,10,1090.713422
20,0.05,700,10,1090.910158
25,0.1,40,10,1096.173233
25,0.15,40,10,1097.756974
20,0.1,40,10,1099.143829
20,0.15,40,10,1100.229359
25,0.05,40,10,1100.614543
20,0.15,40,0,1101.975822
25,0.15,40,0,1103.208391
20,0.05,40,10,1103.311033
25,0.1,40,0,1103.616993
20,0.1,40,0,1103.783379
25,0.05,40,0,1108.556805
20,0.05,40,0,1108.643738
