lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,recurrent_l2,mse_0
20,0.4,0.3,700,0,1077.333465
20,0.4,0.3,70,0,1077.333645
20,0.4,0.3,700,70,1077.340464
20,0.4,0.3,70,70,1077.36554
20,0.4,0.3,700,700,1077.368532
20,0.4,0.3,70,700,1077.510751
20,0.4,0.3,0,700,1077.599022
20,0.4,0.3,0,70,1077.894894
30,0.4,0.3,0,700,1085.870337
30,0.4,0.3,0,70,1085.877212
30,0.4,0.3,70,700,1085.971086
30,0.4,0.3,700,700,1085.997038
30,0.4,0.3,700,70,1086.001112
30,0.4,0.3,700,0,1086.001141
30,0.4,0.3,70,70,1086.002366
30,0.4,0.3,70,0,1086.006875
40,0.4,0.3,0,700,1090.717944
40,0.4,0.3,70,700,1090.740862
40,0.4,0.3,70,70,1090.786665
40,0.4,0.3,700,700,1090.791015
40,0.4,0.3,700,0,1090.794339
40,0.4,0.3,700,70,1090.79549
40,0.4,0.3,70,0,1090.800641
40,0.4,0.3,0,70,1090.991272
20,0.4,0.3,0,0,1094.091501
30,0.4,0.3,0,0,1110.011597
40,0.4,0.3,0,0,1113.192279
