lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,kernel_l2,mse_0
20,0.5,0.3,10,0,1096.487517
20,0.5,0.3,700,0,1096.487683
20,0.5,0.2,700,0,1096.503727
20,0.5,0.2,10,0,1096.506399
20,0.4,0.3,700,0,1102.123115
20,0.4,0.3,10,0,1102.633372
20,0.4,0.2,700,0,1103.045486
20,0.4,0.2,10,0,1103.045722
20,0.5,0.2,700,10,1113.811714
20,0.5,0.2,10,10,1113.814508
20,0.5,0.3,10,10,1114.109671
20,0.5,0.3,700,10,1114.111931
20,0.4,0.3,10,10,1115.454503
20,0.4,0.3,700,10,1115.457848
20,0.4,0.2,10,10,1115.666233
20,0.4,0.2,700,10,1115.673573
